show_id;type;title;release_year;duration;description
s185;TV Show;Sparking Joy;2021;1 Season;"In this reality series, Marie Kondo brings her joyful tidying tactics to people struggling to balance work and home life — and shares her own world."
s186;Movie;Untold: Crime & Penalties;2021;86 min;"They were the bad boys of hockey — a team bought by a man with mob ties, run by his 17-year-old son, and with a rep for being as violent as they were good."
s187;TV Show;Hometown Cha-Cha-Cha;2021;1 Season;"A big-city dentist opens up a practice in a close-knit seaside village, home to a charming jack-of-all-trades who is her polar opposite in every way."
s188;TV Show;The Ingenuity of the Househusband;2021;1 Season;A tough guy with a knack for housework tackles household tasks with meticulous care in these comedic live-action vignettes.
s189;Movie;2 Alone in Paris;2008;97 min;"A bumbling Paris policeman is doggedly determined to capture the master thief that repeatedly eludes him, even when they're the last two men on Earth."
s190;TV Show;Bread Barbershop;2020;2 Seasons;"In a town filled with food, Bread is a master cake decorator who gives life-changing makeovers that will put any customer in an amazing mood."
s191;Movie;Thimmarusu;2021;125 min;"Eight years after a young man is framed for murder, an up-and-coming lawyer re-opens the case, beginning a tricky mission to find the real culprit."
s192;Movie;Wind River;2017;107 min;A tracker with the U.S. Fish and Wildlife Service assists a rookie FBI agent who's investigating a teen girl's murder on a remote Wyoming reservation.
s193;Movie;C Kkompany;2008;127 min;"Three broke friends pose as an underworld gang for extortion, but their plan takes on a life of its own when their phony company becomes famous."
s194;TV Show;D.P.;2021;1 Season;A young private’s assignment to capture army deserters reveals the painful reality endured by each enlistee during his compulsory call of duty.
s195;TV Show;Deadly Sins;2002;1 Season;A multimillionaire fakes his death and forces his relatives to live together in his mansion for one year to see who's worthy of inheriting his fortune.
s196;Movie;EMI: Liya Hai To Chukana Padega;2008;128 min;A bank hires an enigmatic and unorthodox debt collector to recover money from four borrowers who are unable to pay their loans.
s197;Movie;He's All That;2021;92 min;An influencer specializing in makeovers bets she can transform an unpopular classmate into prom king in this remake of the teen classic "She's All That."
s198;TV Show;I Heart Arlo;2021;1 Season;It's a whole new world for Arlo and his one-of-a kind pals when they set out to restore a run-down New York City neighborhood — and make it their own.
s199;TV Show;King of Boys: The Return of the King;2021;1 Season;"Alhaja Eniola Salami starts anew and sets her sights on a different position of power, fueled by revenge, regret and ruthlessness."
